"soc","onet_element_id","onet_rating_value"
"11-2032","4.A.2.b.5",3.64
"11-2032","4.A.2.b.6",4.41
"11-2032","4.A.4.c.3",3.27
"11-2032","2.A.1.f",1.5
"11-2032","2.C.4.b",1.14
"11-2032","2.C.4.c",1.05
"11-2032","2.C.4.d",1.18
"11-2032","1.A.1.a.1",4.25
"11-2032","1.A.1.a.3",4.12
"11-2032","1.A.4.b.4",4
"11-2032","1.A.4.b.5",4
"11-2032","2.A.1.b",4.12
"11-2032","2.A.1.d",4.12
"11-2032","2.C.9.b",4.91
"11-2032","4.C.1.a.2.c",2.95
"11-2032","1.A.1.a.2",3.88
"11-2032","1.A.1.a.4",4
"11-2032","2.A.1.a",4
"11-2032","2.A.1.c",4
"11-2032","4.A.4.a.1",4.05
"11-2033","1.C.4.a",4.24
"11-2033","1.C.4.b",4.1
"11-2033","1.C.4.c",4.1
"11-2033","2.A.2.b",3.25
