"soc","industry_code"
"43-3099","TE1000"
"43-4000","TE1000"
"43-4011","TE1000"
"43-4021","TE1000"
"43-4031","TE1000"
"43-4041","TE1000"
"43-4051","TE1000"
"43-4061","TE1000"
"43-4071","TE1000"
"43-4081","TE1000"
"43-4111","TE1000"
"43-4121","TE1000"
"43-4131","TE1000"
"43-4141","TE1000"
"43-4151","TE1000"
"43-4161","TE1000"
"43-4171","TE1000"
"43-4181","TE1000"
"43-4199","TE1000"
"43-5000","TE1000"
"43-5011","TE1000"
"43-5021","TE1000"
"43-5030","TE1000"
"43-5031","TE1000"
"43-5032","TE1000"
"43-5041","TE1000"
"43-5050","TE1000"
"43-5051","TE1000"
"43-5052","TE1000"
"43-5053","TE1000"
"43-5061","TE1000"
"43-5071","TE1000"
"43-5111","TE1000"
"43-6000","TE1000"
"43-6011","TE1000"
"43-6012","TE1000"
"43-6013","TE1000"
"43-6014","TE1000"
"43-9000","TE1000"
"43-9020","TE1000"
"43-9021","TE1000"
"43-9022","TE1000"
"43-9031","TE1000"
"43-9041","TE1000"
"43-9051","TE1000"
"43-9061","TE1000"
"43-9071","TE1000"
"43-9081","TE1000"
"43-9111","TE1000"
"43-9199","TE1000"
"45-0000","TE1000"
"45-1000","TE1000"
"45-1011","TE1000"
"45-2000","TE1000"
"45-2011","TE1000"
"45-2021","TE1000"
"45-2041","TE1000"
"45-2090","TE1000"
"45-2091","TE1000"
"45-2092","TE1000"
"45-2093","TE1000"
"45-2099","TE1000"
"45-3000","TE1000"
"45-3031","TE1000"
"45-4000","TE1000"
"45-4011","TE1000"
"45-4020","TE1000"
"45-4021","TE1000"
"45-4022","TE1000"
"45-4023","TE1000"
"45-4029","TE1000"
"47-0000","TE1000"
"47-1000","TE1000"
"47-1011","TE1000"
"47-2000","TE1000"
"47-2011","TE1000"
"47-2020","TE1000"
"47-2021","TE1000"
"47-2022","TE1000"
"47-2031","TE1000"
"47-2040","TE1000"
"47-2041","TE1000"
"47-2042","TE1000"
"47-2043","TE1000"
"47-2044","TE1000"
"47-2050","TE1000"
"47-2051","TE1000"
"47-2053","TE1000"
"47-2061","TE1000"
"47-2070","TE1000"
"47-2071","TE1000"
"47-2072","TE1000"
"47-2073","TE1000"
"47-2080","TE1000"
"47-2081","TE1000"
"47-2082","TE1000"
"47-2111","TE1000"
"47-2121","TE1000"
"47-2130","TE1000"
"47-2131","TE1000"
"47-2132","TE1000"
"47-2140","TE1000"
"47-2141","TE1000"
"47-2142","TE1000"
"47-2150","TE1000"
"47-2151","TE1000"
"47-2152","TE1000"
"47-2161","TE1000"
"47-2171","TE1000"
"47-2181","TE1000"
"47-2211","TE1000"
"47-2221","TE1000"
"47-2231","TE1000"
"47-3000","TE1000"
"47-3011","TE1000"
"47-3012","TE1000"
"47-3013","TE1000"
"47-3014","TE1000"
"47-3015","TE1000"
"47-3016","TE1000"
"47-3019","TE1000"
"47-4000","TE1000"
"47-4011","TE1000"
"47-4021","TE1000"
"47-4031","TE1000"
"47-4041","TE1000"
"47-4051","TE1000"
"47-4061","TE1000"
"47-4071","TE1000"
"47-4090","TE1000"
"47-5000","TE1000"
"47-5010","TE1000"
"47-5011","TE1000"
"47-5012","TE1000"
"47-5013","TE1000"
"47-5020","TE1000"
"47-5022","TE1000"
"47-5023","TE1000"
"47-5032","TE1000"
"47-5040","TE1000"
"47-5041","TE1000"
"47-5043","TE1000"
"47-5044","TE1000"
"47-5049","TE1000"
"47-5051","TE1000"
"47-5071","TE1000"
"47-5081","TE1000"
"47-5099","TE1000"
"49-0000","TE1000"
"49-1000","TE1000"
"49-1011","TE1000"
"49-2000","TE1000"
"49-2011","TE1000"
"49-2020","TE1000"
"49-2021","TE1000"
"49-2022","TE1000"
"49-2090","TE1000"
"49-2091","TE1000"
"49-2092","TE1000"
"49-2093","TE1000"
"49-2094","TE1000"
"49-2095","TE1000"
"49-2096","TE1000"
"49-2097","TE1000"
"49-2098","TE1000"
"49-3000","TE1000"
"49-3011","TE1000"
"49-3020","TE1000"
"49-3021","TE1000"
"49-3022","TE1000"
"49-3023","TE1000"
"49-3031","TE1000"
"49-3040","TE1000"
"49-3041","TE1000"
"49-3042","TE1000"
"49-3043","TE1000"
"49-3050","TE1000"
"49-3051","TE1000"
"49-3052","TE1000"
"49-3053","TE1000"
"49-3090","TE1000"
"49-3091","TE1000"
"49-3092","TE1000"
"49-3093","TE1000"
"49-9000","TE1000"
"49-9010","TE1000"
"49-9011","TE1000"
"49-9012","TE1000"
"49-9021","TE1000"
"49-9031","TE1000"
"49-9040","TE1000"
"49-9041","TE1000"
"49-9043","TE1000"
"49-9044","TE1000"
"49-9045","TE1000"
"49-9050","TE1000"
"49-9051","TE1000"
"49-9052","TE1000"
"49-9060","TE1000"
"49-9061","TE1000"
"49-9062","TE1000"
"49-9063","TE1000"
"49-9064","TE1000"
"49-9069","TE1000"
"49-9071","TE1000"
"49-9081","TE1000"
"49-9090","TE1000"
"49-9091","TE1000"
"49-9092","TE1000"
"49-9094","TE1000"
"49-9095","TE1000"
"49-9096","TE1000"
"49-9097","TE1000"
"49-9098","TE1000"
"49-9099","TE1000"
"51-0000","TE1000"
"51-1000","TE1000"
"51-1011","TE1000"
"51-2000","TE1000"
"51-2011","TE1000"
"51-2020","TE1000"
"51-2021","TE1000"
"51-2028","TE1000"
"51-2031","TE1000"
"51-2041","TE1000"
"51-2051","TE1000"
"51-2061","TE1000"
"51-2090","TE1000"
"51-3000","TE1000"
