1243410110	20250412	202504	2025	2025.2795	GBR	UNITED KINGDOM	GBR																		1	020	020	02	1	3.0	4	1	4	-6.08108108108108	5	Highland Region, Highland, United Kingdom	UK	UKV3	40172	57.5	-5	-2598680	0								5	Highland Region, Highland, United Kingdom	UK	UKV3	40172	57.5	-5	-2598680	20250512223000	https://www.johnogroat-journal.co.uk/news/deadline-for-rts-switch-off-is-unrealistic-insists-maree-to-381890/
1243410111	20250412	202504	2025	2025.2795	JUD	CONSTITUTIONAL COURT						JUD													1	160	160	16	4	-4.0	10	1	10	-3.32225913621262	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	0								4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20250512223000	https://www.channelnewsasia.com/commentary/south-korea-presidential-election-crisis-politica-drift-5123881
1243410112	20250412	202504	2025	2025.2795	USA	FLORIDA	USA								EDU	UNIVERSITY						EDU			1	0841	084	08	2	7.0	10	1	10	-2.38095238095238	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20250512223000	https://www.yahoo.com/news/fsu-shooting-suspect-phoenix-ikner-210318457.html
1243410113	20250412	202504	2025	2025.2795	USA	FLORIDA	USA								EDUUAF	UNIVERSITY						EDU	UAF		1	193	193	19	4	-10.0	10	1	10	-10.0418410041841	3	Leon County, Florida, United States	US	USFL	FL073	30.4946	-84.2082	306916	3	Leon County, Florida, United States	US	USFL		30.4946	-84.2082	306916	3	Leon County, Florida, United States	US	USFL		30.4946	-84.2082	306916	20250512223000	https://nypost.com/2025/05/12/us-news/alleged-fsu-mass-shooter-phoenix-ikners-face-disfigured-in-mugshot-after-cop-shot-him-in-jaw/
1243410114	20250505	202505	2025	2025.3425											SYR	SYRIAN	SYR								1	195	195	19	4	-10.0	5	1	5	-4.88431876606684	0								4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	20250512223000	https://www.al-monitor.com/originals/2025/05/jordan-turkey-syria-fms-slam-israeli-expansionism-after-ankara-meeting
1243410115	20250505	202505	2025	2025.3425	GOV	DIPLOMAT						GOV			PTY	POLITICIAN									1	036	036	03	1	4.0	8	1	8	0.595238095238095	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250512223000	http://www.gbc.gi/news/there-can-be-no-uk-eu-relationship-without-a-resolution-to-gibraltar-issue-says-albares
1243410116	20250505	202505	2025	2025.3425	GOV	DIPLOMAT						GOV			PTY	POLITICIAN									1	050	050	05	1	3.5	8	1	8	0.595238095238095	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250512223000	http://www.gbc.gi/news/there-can-be-no-uk-eu-relationship-without-a-resolution-to-gibraltar-issue-says-albares
1243410117	20250505	202505	2025	2025.3425	ISR	ISRAELI	ISR								SYR	SYRIA	SYR								1	036	036	03	1	4.0	1	1	1	-4.88431876606684	1	Israel	IS	IS		31.5	34.75	IS	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	1	Israel	IS	IS		31.5	34.75	IS	20250512223000	https://www.al-monitor.com/originals/2025/05/jordan-turkey-syria-fms-slam-israeli-expansionism-after-ankara-meeting
1243410118	20250505	202505	2025	2025.3425	ISR	ISRAELI	ISR								SYR	SYRIA	SYR								1	036	036	03	1	4.0	1	1	1	-4.88431876606684	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20250512223000	https://www.al-monitor.com/originals/2025/05/jordan-turkey-syria-fms-slam-israeli-expansionism-after-ankara-meeting
1243410119	20250505	202505	2025	2025.3425	PAK	PAKISTAN	PAK																		0	080	080	08	2	5.0	2	1	2	-5.60578661844485	4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	0								4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	20250512223000	https://www.asianage.com/nation/as-ceasefire-holds-border-dwellers-return-home-cautiously-and-with-unease-1878420
1243410120	20250505	202505	2025	2025.3425	PAK	PAKISTAN	PAK																		0	080	080	08	2	5.0	2	1	2	-5.60578661844485	4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	0								4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	20250512223000	https://www.asianage.com/nation/as-ceasefire-holds-border-dwellers-return-home-cautiously-and-with-unease-1878420
1243410121	20250505	202505	2025	2025.3425	PAK	PAKISTAN	PAK																		0	080	080	08	2	5.0	6	1	6	-5.60578661844485	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	0								4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	20250512223000	https://www.asianage.com/nation/as-ceasefire-holds-border-dwellers-return-home-cautiously-and-with-unease-1878420
1243410122	20250505	202505	2025	2025.3425	PTY	POLITICIAN									GOV	DIPLOMAT						GOV			1	036	036	03	1	4.0	8	1	8	0.595238095238095	1	Gibraltar	GI	GI		36.133333	-5.35	GI	1	Gibraltar	GI	GI		36.133333	-5.35	GI	1	Gibraltar	GI	GI		36.133333	-5.35	GI	20250512223000	http://www.gbc.gi/news/there-can-be-no-uk-eu-relationship-without-a-resolution-to-gibraltar-issue-says-albares
1243410123	20250505	202505	2025	2025.3425	PTY	POLITICIAN									GOV	DIPLOMAT						GOV			1	050	050	05	1	3.5	8	1	8	0.595238095238095	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250512223000	http://www.gbc.gi/news/there-can-be-no-uk-eu-relationship-without-a-resolution-to-gibraltar-issue-says-albares
1243410124	20250505	202505	2025	2025.3425	SYR	SYRIA	SYR								ISR	ISRAELI	ISR								1	036	036	03	1	4.0	1	1	1	-4.88431876606684	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20250512223000	https://www.al-monitor.com/originals/2025/05/jordan-turkey-syria-fms-slam-israeli-expansionism-after-ankara-meeting
1243410125	20250505	202505	2025	2025.3425	SYR	SYRIA	SYR								ISR	ISRAELI	ISR								1	036	036	03	1	4.0	1	1	1	-4.88431876606684	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20250512223000	https://www.al-monitor.com/originals/2025/05/jordan-turkey-syria-fms-slam-israeli-expansionism-after-ankara-meeting
1243410126	20250505	202505	2025	2025.3425	USA	UNITED STATES	USA																		0	129	129	12	3	-5.0	2	1	2	-2.37467018469657	2	Florida, United States	US	USFL		27.8333	-81.717	FL	0								3	Wauchula, Florida, United States	US	USFL	FL049	27.5473	-81.8115	292949	20250512223000	https://www.sun-sentinel.com/2025/05/12/desantis-rejects-idea-of-budget-summit-suggested-by-state-republican-party/
1243410127	20250505	202505	2025	2025.3425	USA	UNITED STATES	USA																		0	131	131	13	3	-5.8	2	1	2	-2.37467018469657	2	Florida, United States	US	USFL		27.8333	-81.717	FL	0								3	Wauchula, Florida, United States	US	USFL	FL049	27.5473	-81.8115	292949	20250512223000	https://www.sun-sentinel.com/2025/05/12/desantis-rejects-idea-of-budget-summit-suggested-by-state-republican-party/
1243410128	20250505	202505	2025	2025.3425	USA	MONTANA	USA								COP	LAW ENFORCEMENT OFFICER						COP			0	051	051	05	1	3.4	10	1	10	-0.9367681498829	2	Montana, United States	US	USMT		46.9048	-110.326	MT	2	Montana, United States	US	USMT		46.9048	-110.326	MT	2	Montana, United States	US	USMT		46.9048	-110.326	MT	20250512223000	https://helenair.com/news/community/article_018e94db-9ece-4576-bc68-8bb6478f8d5c.html
1243410129	20250511	202505	2025	2025.3589	AFR	AFRICA	AFR								USA	THE US	USA								1	036	036	03	1	4.0	4	1	4	-6.27450980392156	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20250512223000	https://www.gdnonline.com:443/Details/1352958
1243410130	20250511	202505	2025	2025.3589	ZAF	SOUTH AFRICAN	ZAF								USA	THE US	USA								1	036	036	03	1	4.0	2	1	2	-6.27450980392156	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20250512223000	https://www.gdnonline.com:443/Details/1352958
1243410131	20250511	202505	2025	2025.3589	ZAF	SOUTH AFRICAN	ZAF								USA	THE US	USA								1	036	036	03	1	4.0	4	1	4	-6.27450980392156	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20250512223000	https://www.gdnonline.com:443/Details/1352958
1243410132	20250512	202505	2025	2025.3616											ARG	BUENOS AIRES	ARG								0	190	190	19	4	-10.0	5	1	5	-3.44287949921753	0								4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	20250512223000	https://slguardian.org/milei-turns-on-macri-in-bid-to-reshape-argentinas-right/
1243410133	20250512	202505	2025	2025.3616											BUS	MANUFACTURER						BUS			0	014	014	01	1	0.0	1	1	1	0.48602673147023	0								1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20250512223000	https://www.livemint.com/companies/news/china-tariff-relief-spurs-shipping-rush-u-turn-on-price-hikes-11747086563504.html
1243410134	20250512	202505	2025	2025.3616											BUS	MANUFACTURER						BUS			0	014	014	01	1	0.0	5	1	5	0.48602673147023	0								1	Hong Kong	HK	HK		22.25	114.166667	HK	1	Hong Kong	HK	HK		22.25	114.166667	HK	20250512223000	https://www.livemint.com/companies/news/china-tariff-relief-spurs-shipping-rush-u-turn-on-price-hikes-11747086563504.html
1243410135	20250512	202505	2025	2025.3616											BUS	MANUFACTURER						BUS			0	014	014	01	1	0.0	4	1	4	0.48602673147023	0								1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	China	CH	CH		35	105	CH	20250512223000	https://www.livemint.com/companies/news/china-tariff-relief-spurs-shipping-rush-u-turn-on-price-hikes-11747086563504.html
1243410136	20250512	202505	2025	2025.3616											BUS	BUSINESS						BUS			1	030	030	03	1	4.0	10	1	10	1.2	0								2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	20250512223000	https://www.wisbusiness.com/2025/nfib-wisconsin-small-business-group-announces-luke-bacher-as-new-director/
1243410137	20250512	202505	2025	2025.3616											BUS	COMPANIES						BUS			1	031	031	03	1	5.2	10	1	10	2.05831903945111	0								2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20250512223000	https://chicago.suntimes.com/real-estate/2025/05/12/australian-startup-diraq-quantum-campus-us-steel-south-works
1243410138	20250512	202505	2025	2025.3616											BUS	CORPORATION						BUS			1	040	040	04	1	1.0	2	1	2	-1.01694915254238	0								4	Vadodara, Gujarat, India	IN	IN09	70124	22.3	73.2	-2114049	4	Mandvi, Gujarat, India	IN	IN09	17649	21.25	73.3	-2103744	20250512223000	https://timesofindia.indiatimes.com/city/vadodara/vmc-discusses-mandvi-restoration-with-heritage-experts/articleshow/121119377.cms
1243410139	20250512	202505	2025	2025.3616											BUS	BUSINESS						BUS			0	051	051	05	1	3.4	10	1	10	2.36100533130236	0								2	Utah, United States	US	USUT		40.1135	-111.854	UT	2	Utah, United States	US	USUT		40.1135	-111.854	UT	20250512223000	https://www.jdsupra.com/legalnews/global-capability-centers-in-2025-key-2860522/
1243410140	20250512	202505	2025	2025.3616											BUS	BANK						BUS			1	112	112	11	3	-2.0	20	1	10	-0.7168458781362	0								2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20250512223000	https://ktvo.com/news/local/fire-at-la-plata-state-bank-blamed-on-electrical-issue
1243410141	20250512	202505	2025	2025.3616											BUS	BANK						BUS			1	190	190	19	4	-10.0	10	1	10	-0.7168458781362	0								3	Adair County, Missouri, United States	US	USMO		40.2	-92.6002	765805	3	Adair County, Missouri, United States	US	USMO		40.2	-92.6002	765805	20250512223000	https://ktvo.com/news/local/fire-at-la-plata-state-bank-blamed-on-electrical-issue
1243410142	20250512	202505	2025	2025.3616											BUS	BANK						BUS			1	190	190	19	4	-10.0	10	1	10	-0.7168458781362	0								2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20250512223000	https://ktvo.com/news/local/fire-at-la-plata-state-bank-blamed-on-electrical-issue
1243410143	20250512	202505	2025	2025.3616											BUS	COMPANY						BUS			0	192	192	19	4	-9.5	10	1	10	4.85701316386745	0								2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	20250512223000	https://www.forbes.com/sites/renaegregoire/2025/05/12/business-philanthropy-the-quiet-advantage-of-purpose-over-profit/
1243410144	20250512	202505	2025	2025.3616											BUSBUS	COMPANY						BUS	BUS		0	040	040	04	1	1.0	10	1	10	0.65750149432158	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250512223000	https://www.finanznachrichten.de/nachrichten-2025-05/65379334-kalo-gold-corp-kalo-gold-closes-first-tranche-dollar-4-07-million-in-oversubscribed-private-placement-to-fund-drilling-at-vatu-aurum-project-fiji-200.htm
1243410145	20250512	202505	2025	2025.3616											CAN	CANADA	CAN								1	042	042	04	1	1.9	2	1	2	0.56497175141243	0								4	Dawson Creek, British Columbia, Canada	CA	CA02	154724	55.7667	-120.233	-563373	4	Grande Prairie, Alberta, Canada	CA	CA01	154724	55.1667	-118.8	-565467	20250512223000	https://energeticcity.ca/2025/05/12/fort-nelson-grappler-wins-car-jitsu-title-at-northern-combat-invitational/
1243410146	20250512	202505	2025	2025.3616											CAN	CANADA	CAN								1	042	042	04	1	1.9	1	1	1	0.56497175141243	0								4	Fort Nelson, British Columbia, Canada	CA	CA02	12558	58.8167	-122.533	-564820	4	Grande Prairie, Alberta, Canada	CA	CA01	154724	55.1667	-118.8	-565467	20250512223000	https://energeticcity.ca/2025/05/12/fort-nelson-grappler-wins-car-jitsu-title-at-northern-combat-invitational/
1243410147	20250512	202505	2025	2025.3616											CAN	CANADA	CAN								1	042	042	04	1	1.9	1	1	1	0.56497175141243	0								4	Grande Prairie, Alberta, Canada	CA	CA01	154724	55.1667	-118.8	-565467	4	Fort Nelson, British Columbia, Canada	CA	CA02	12558	58.8167	-122.533	-564820	20250512223000	https://energeticcity.ca/2025/05/12/fort-nelson-grappler-wins-car-jitsu-title-at-northern-combat-invitational/
1243410148	20250512	202505	2025	2025.3616											CAN	ALBERTA	CAN								1	051	051	05	1	3.4	10	1	10	-2.81690140845071	0								2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	20250512223000	https://www.castanetkamloops.net/news/Kelowna/549953/Okanagan-Basin-Water-Board-cheers-provincial-measures-combating-invasive-mussels
1243410149	20250512	202505	2025	2025.3616											CHN	CHINA	CHN								1	046	046	04	1	7.0	5	1	5	-6.37408568443051	0								1	China	CH	CH		35	105	CH	4	Thanjavur, Tamil Nadu, India	IN	IN25	17881	10.8	79.15	-2112964	20250512223000	https://www.asianage.com/opinion/columnists/aakar-patel-cohesive-security-strategy-needed-doval-doctrine-can-be-first-step-1878483
1243410150	20250512	202505	2025	2025.3616											CHNCOP	CANTON	CHN					COP			1	190	190	19	4	-10.0	3	1	3	-4.27631578947368	0								1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20250512223000	https://www.yahoo.com/news/msp-supervisor-finishes-testimony-read-214231448.html
1243410151	20250512	202505	2025	2025.3616											CHRCTHCVL	CATHOLIC				CHR	CTH	CVL			1	036	036	03	1	4.0	5	1	5	1.39275766016713	0								1	Jersey	JE	JE		49.216667	-2.116667	JE	1	Jersey	JE	JE		49.216667	-2.116667	JE	20250512223000	https://catholicphilly.com/2025/05/features/our-new-priests/at-70-trailblazer-becomes-first-hermit-priest-in-archdiocese-of-philadelphia/
1243410152	20250512	202505	2025	2025.3616											CHRCTHCVL	CATHOLIC				CHR	CTH	CVL			1	046	046	04	1	7.0	10	1	10	8.86075949367089	0								3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	20250512223000	https://catholicphilly.com/2025/05/photo-features/faithful-celebrate-the-election-of-pope-leo-xiv-with-mass/
1243410153	20250512	202505	2025	2025.3616											CODGOV	THE DRC	COD					GOV			0	050	050	05	1	3.5	1	1	1	-1.76211453744493	0								4	Port-Au-Prince, Ouest, Haiti	HA	HA11	17198	18.5392	-72.335	-70311	4	Port-Au-Prince, Ouest, Haiti	HA	HA11	17198	18.5392	-72.335	-70311	20250512223000	https://slguardian.org/erik-princes-shadow-agenda-for-trumps-second-term/
1243410154	20250512	202505	2025	2025.3616											CODGOV	THE DRC	COD					GOV			0	050	050	05	1	3.5	4	1	4	-1.76211453744493	0								1	Democratic Republic Of The Congo	CG	CG		0	25	CG	1	Democratic Republic Of The Congo	CG	CG		0	25	CG	20250512223000	https://slguardian.org/erik-princes-shadow-agenda-for-trumps-second-term/
1243410155	20250512	202505	2025	2025.3616											COP	INVESTIGATIVE AGENCY						COP			1	030	030	03	1	4.0	10	1	10	-9.27152317880799	0								2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	20250512223000	https://www.yahoo.com/news/dad-charged-forcing-9-old-195841908.html
1243410156	20250512	202505	2025	2025.3616											COP	POLICE						COP			1	042	042	04	1	1.9	1	1	1	3.47826086956522	0								3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	20250512223000	https://www.yahoo.com/news/el-paso-police-honor-sacrifice-202757819.html
1243410157	20250512	202505	2025	2025.3616											COP	PRISON						COP			1	043	043	04	1	2.8	2	1	2	-1.76211453744493	0								2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20250512223000	https://slguardian.org/erik-princes-shadow-agenda-for-trumps-second-term/
1243410158	20250512	202505	2025	2025.3616											COP	POLICE						COP			1	051	051	05	1	3.4	3	1	3	-4	0								2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20250512223000	https://www.wbtv.com/2025/05/12/nearly-35k-raised-young-waxhaw-woman-killed-while-visiting-friends-south-carolina/
1243410159	20250512	202505	2025	2025.3616											COP	POLICE						COP			0	080	080	08	2	5.0	3	1	3	-6.06060606060606	0								3	Glynn County, Georgia, United States	US	USGA		31.2336	-81.5332	1671513	3	Glynn County, Georgia, United States	US	USGA		31.2336	-81.5332	1671513	20250512223000	https://www.firstcoastnews.com/article/news/crime/officer-involved-shooting-golden-isles-parkway-glynn-county/77-d860b9cb-fa0e-452a-99c5-79c27d220f5d
1243410160	20250512	202505	2025	2025.3616											COP	POLICE						COP			1	173	173	17	4	-5.0	4	1	4	-7.38636363636364	0								4	Vadodara, Gujarat, India	IN	IN09	70124	22.3	73.2	-2114049	4	Vadodara, Gujarat, India	IN	IN09	70124	22.3	73.2	-2114049	20250512223000	https://timesofindia.indiatimes.com/city/vadodara/bootleggers-held-under-gujctoc-sent-to-police-custody-for-7-days/articleshow/121119383.cms
1243410161	20250512	202505	2025	2025.3616											COP	POLICE						COP			1	173	173	17	4	-5.0	3	1	3	-4	0								2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20250512223000	https://www.wbtv.com/2025/05/12/nearly-35k-raised-young-waxhaw-woman-killed-while-visiting-friends-south-carolina/
1243410162	20250512	202505	2025	2025.3616											CRM	CRIMINAL						CRM			0	020	020	02	1	3.0	4	1	4	-2.90102389078498	0								3	Queens, New York, United States	US	USNY	NY081	40.7498	-73.7976	971983	3	Queens, New York, United States	US	USNY	NY081	40.7498	-73.7976	971983	20250512223000	https://nypost.com/2025/05/12/us-news/nyc-lawmakers-of-both-parties-urge-trump-admin-to-step-in-tackle-sanctuary-laws/
1243410163	20250512	202505	2025	2025.3616											CRM	CRIMINAL						CRM			0	046	046	04	1	7.0	5	1	5	-5.68319226118501	0								3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	20250512223000	https://wlos.com/news/local/special-attorney-general-prosecutor-joins-probe-buncombe-county-pretrial-services-ryan-ricky-houston-lawsuit-malerie-crisp-north-carolina
