1243694204	20240514	202405	2024	2024.3671	GOV	GOVERNMENT						GOV			KEN	KENYA	KEN								1	020	020	02	1	3.0	2	1	2	-3.05676855895196	4	Gilgil, Rift Valley, Kenya	KE	KE08	18585	-0.489721	36.312	-2245419	4	Gilgil, Rift Valley, Kenya	KE	KE08	18585	-0.489721	36.312	-2245419	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20250514044500	https://www.standardmedia.co.ke/counties/article/2001518947/dp-blames-soaring-land-prices-for-flood-victims-resettlement-delay
1243694205	20240514	202405	2024	2024.3671	JUD	CONSTITUTIONAL COURT						JUD			COPJUD	DEPUTY						COP	JUD		0	042	042	04	1	1.9	6	1	6	-3.98040416411512	1	Uganda	UG	UG		2	33	UG	1	Uganda	UG	UG		2	33	UG	1	Uganda	UG	UG		2	33	UG	20250514044500	https://observer.ug/viewpoint/love-fear-hatred-and-others-human-emotion-and-the-1995-constitution/
1243694206	20250414	202504	2025	2025.2849	BUS	COMPANY						BUS													1	031	031	03	1	5.2	2	1	2	0.29850746268657	2	California, United States	US	USCA		36.17	-119.746	CA	0								3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20250514044500	https://www.thehindu.com/sci-tech/technology/intel-has-limited-customer-commitments-for-latest-chip-manufacturing-tech-cfo-says/article69573833.ece
1243694207	20250414	202504	2025	2025.2849	BUS	COMPANY						BUS													1	031	031	03	1	5.2	8	1	8	0.29850746268657	2	California, United States	US	USCA		36.17	-119.746	CA	0								2	California, United States	US	USCA		36.17	-119.746	CA	20250514044500	https://www.thehindu.com/sci-tech/technology/intel-has-limited-customer-commitments-for-latest-chip-manufacturing-tech-cfo-says/article69573833.ece
1243694208	20250414	202504	2025	2025.2849	BUS	COMPANY						BUS			USAMED	REUTERS	USA					MED			1	031	031	03	1	5.2	4	1	4	0.29850746268657	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20250514044500	https://www.thehindu.com/sci-tech/technology/intel-has-limited-customer-commitments-for-latest-chip-manufacturing-tech-cfo-says/article69573833.ece
1243694209	20250414	202504	2025	2025.2849	BUS	COMPANY						BUS			USAMED	REUTERS	USA					MED			1	031	031	03	1	5.2	6	1	6	0.29850746268657	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20250514044500	https://www.thehindu.com/sci-tech/technology/intel-has-limited-customer-commitments-for-latest-chip-manufacturing-tech-cfo-says/article69573833.ece
1243694210	20250414	202504	2025	2025.2849	TUR	TURKISH	TUR								MIL	MILITARY						MIL			0	072	072	07	2	8.3	8	1	8	-6.47398843930636	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20250514044500	https://neoskosmos.com/en/2025/05/14/dialogue/opinion/greece-takes-note-the-pahalgam-attack-indias-operation-sindoor-and-the-new-geopolitical-order/
1243694211	20250414	202504	2025	2025.2849	TUR	TURKEY	TUR								MIL	MILITARY						MIL			0	072	072	07	2	8.3	2	1	2	-6.47398843930636	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20250514044500	https://neoskosmos.com/en/2025/05/14/dialogue/opinion/greece-takes-note-the-pahalgam-attack-indias-operation-sindoor-and-the-new-geopolitical-order/
1243694212	20250414	202504	2025	2025.2849	USA	UNITED STATES	USA								USAGOV	UNITED STATES	USA					GOV			0	051	051	05	1	3.4	2	1	2	-2.08643815201193	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	3	Gila County, Arizona, United States	US	USAZ		33.5167	-110.517	40471	3	Gila County, Arizona, United States	US	USAZ		33.5167	-110.517	40471	20250514044500	https://www.kjzz.org/politics/2025-05-13/hobbs-signs-emilys-law-to-establish-alerts-for-missing-indigenous-peoples-in-arizona
1243694213	20250414	202504	2025	2025.2849	nai	NATIVE AMERICAN			nai						USAGOV	NEW MEXICO	USA					GOV			0	051	051	05	1	3.4	1	1	1	-2.08643815201193	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	3	Gila County, Arizona, United States	US	USAZ		33.5167	-110.517	40471	3	Gila County, Arizona, United States	US	USAZ		33.5167	-110.517	40471	20250514044500	https://www.kjzz.org/politics/2025-05-13/hobbs-signs-emilys-law-to-establish-alerts-for-missing-indigenous-peoples-in-arizona
1243694214	20250414	202504	2025	2025.2849	nai	NATIVE AMERICAN			nai						USAGOV	UNITED STATES	USA					GOV			0	051	051	05	1	3.4	1	1	1	-2.08643815201193	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	3	Gila County, Arizona, United States	US	USAZ		33.5167	-110.517	40471	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20250514044500	https://www.kjzz.org/politics/2025-05-13/hobbs-signs-emilys-law-to-establish-alerts-for-missing-indigenous-peoples-in-arizona
1243694215	20250414	202504	2025	2025.2849	nai	NATIVE AMERICAN			nai						USAGOV	UNITED STATES	USA					GOV			0	051	051	05	1	3.4	1	1	1	-2.08643815201193	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20250514044500	https://www.kjzz.org/politics/2025-05-13/hobbs-signs-emilys-law-to-establish-alerts-for-missing-indigenous-peoples-in-arizona
1243694216	20250507	202505	2025	2025.3479	BUSCVL	BUSINESS						BUS	CVL												0	020	020	02	1	3.0	1	1	1	0.7679180887372	5	Gangwon, Kangwon-do, South Korea	KS	KS06	24978	37.75	128.25	-709262	0								5	Gangwon, Kangwon-do, South Korea	KS	KS06	24978	37.75	128.25	-709262	20250514044500	https://www.thestar.com.my/aseanplus/aseanplus-news/2025/05/14/work-life-balance-or-economic-risk-korea-debates-45-day-workweek-ahead-of-election
1243694217	20250507	202505	2025	2025.3479	GOV	ENVOY						GOV													0	013	013	01	1	0.4	3	1	3	1.68471720818292	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	0								1	Bahrain	BA	BA		26	50.5	BA	20250514044500	https://dailytimes.com.pk/1300726/trump-signs-economic-partnership-agreement-with-saudi-arabia/
1243694218	20250507	202505	2025	2025.3479	KOR	SOUTH KOREA	KOR								BUSCVL	BUSINESS						BUS	CVL		0	020	020	02	1	3.0	4	1	4	0.7679180887372	5	Gangwon, Kangwon-do, South Korea	KS	KS06	24978	37.75	128.25	-709262	5	Gangwon, Kangwon-do, South Korea	KS	KS06	24978	37.75	128.25	-709262	5	Gangwon, Kangwon-do, South Korea	KS	KS06	24978	37.75	128.25	-709262	20250514044500	https://www.thestar.com.my/aseanplus/aseanplus-news/2025/05/14/work-life-balance-or-economic-risk-korea-debates-45-day-workweek-ahead-of-election
1243694219	20250507	202505	2025	2025.3479	RUS	RUSSIAN	RUS								UKR	KYIV	UKR								1	192	192	19	4	-9.5	7	1	7	-2.94985250737463	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20250514044500	https://www.theguardian.com/commentisfree/2025/may/14/ukraine-newfound-confidence-europe-russia-usa
1243694220	20250507	202505	2025	2025.3479	RUS	RUSSIAN	RUS								UKR	KYIV	UKR								1	192	192	19	4	-9.5	1	1	1	-2.94985250737463	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250514044500	https://www.theguardian.com/commentisfree/2025/may/14/ukraine-newfound-confidence-europe-russia-usa
1243694221	20250507	202505	2025	2025.3479	SAU	SAUDI ARABIA	SAU								BHR	BAHRAIN	BHR								0	013	013	01	1	0.4	1	1	1	1.68471720818292	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	1	Bahrain	BA	BA		26	50.5	BA	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20250514044500	https://dailytimes.com.pk/1300726/trump-signs-economic-partnership-agreement-with-saudi-arabia/
1243694222	20250507	202505	2025	2025.3479	SAU	SAUDI ARABIA	SAU								GOV	ENVOY						GOV			0	013	013	01	1	0.4	1	1	1	1.68471720818292	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	1	Bahrain	BA	BA		26	50.5	BA	1	Bahrain	BA	BA		26	50.5	BA	20250514044500	https://dailytimes.com.pk/1300726/trump-signs-economic-partnership-agreement-with-saudi-arabia/
1243694223	20250507	202505	2025	2025.3479	USA	UNITED STATES	USA																		1	100	100	10	3	-5.0	1	1	1	0.81632653061224	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	0								4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20250514044500	http://koreabizwire.com/korean-pharma-sees-opportunity-in-trumps-u-s-drug-price-reform-despite-tariff-risks/317420
1243694224	20250507	202505	2025	2025.3479	USA	MINNEAPOLIS	USA																		1	100	100	10	3	-5.0	7	1	7	1	3	Minneapolis, Minnesota, United States	US	USMN	MN053	44.98	-93.2638	655030	0								3	Minneapolis, Minnesota, United States	US	USMN	MN053	44.98	-93.2638	655030	20250514044500	https://kstp.com/kstp-news/top-news/minneapolis-and-state-leaders-prepare-for-possible-derek-chauvin-pardon/
1243694225	20250507	202505	2025	2025.3479	USA	MINNEAPOLIS	USA																		1	100	100	10	3	-5.0	1	1	1	1	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	0								3	Minneapolis, Minnesota, United States	US	USMN	MN053	44.98	-93.2638	655030	20250514044500	https://kstp.com/kstp-news/top-news/minneapolis-and-state-leaders-prepare-for-possible-derek-chauvin-pardon/
1243694226	20250507	202505	2025	2025.3479	USAELI	UNITED STATES	USA					ELI													1	100	100	10	3	-5.0	1	1	1	0.81632653061224	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	0								4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20250514044500	http://koreabizwire.com/korean-pharma-sees-opportunity-in-trumps-u-s-drug-price-reform-despite-tariff-risks/317420
1243694227	20250507	202505	2025	2025.3479	USAGOV	THE WHITE HOUSE	USA					GOV			CAN	CANADA	CAN								0	010	010	01	1	0.0	2	1	2	1.31332082551595	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20250514044500	https://www.thedailybeast.com/new-canadian-pm-mark-carney-taps-a-top-trump-whisperer-for-key-government-role/
1243694228	20250514	202505	2025	2025.3671											AUS	AUSTRALIA	AUS								1	040	040	04	1	1.0	4	1	4	0	0								4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20250514044500	https://www.rrr.org.au/on-demand/segments/neon-sunset-moon-rituals-new-album-aura
1243694229	20250514	202505	2025	2025.3671											AUS	SYDNEY	AUS								1	042	042	04	1	1.9	8	1	8	-4.75247524752476	0								4	Chatswood, New South Wales, Australia	AS	AS02	5109	-33.8	151.183	-1565262	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20250514044500	https://neoskosmos.com/en/2025/05/14/news/australia/sugar-daddy-surgeons-spectacular-fall-from-grace/
1243694230	20250514	202505	2025	2025.3671											BUD	BUDDHIST				BUD					1	042	042	04	1	1.9	10	1	10	4.08921933085502	0								4	Nagarjunasagar, India (general), India	IN	IN00	17560	16.5	79.2167	-2105344	4	Nagarjunasagar, India (general), India	IN	IN00	17560	16.5	79.2167	-2105344	20250514044500	https://aninews.in/news/entertainment/out-of-box/miss-world-2025-109-contestants-of-beauty-pageant-visit-charminar-in-hyderabad-pose-for-snaps20250514023518/
1243694231	20250514	202505	2025	2025.3671											BUS	INDUSTRY						BUS			1	020	020	02	1	3.0	10	1	10	0.98360655737705	0								2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20250514044500	https://kyma.com/education/2025/05/13/community-home-library-project-boosting-early-literacy-a-love-for-reading/
1243694232	20250514	202505	2025	2025.3671											BUS	BUSINESS						BUS			1	043	043	04	1	2.8	2	1	2	4.91071428571428	0								3	Abilene, Texas, United States	US	USTX	TX441	32.4487	-99.7331	1329173	3	Abilene, Texas, United States	US	USTX	TX441	32.4487	-99.7331	1329173	20250514044500	https://ktxs.com/news/local/abilene-celebrates-small-businesses-during-small-business-month
1243694233	20250514	202505	2025	2025.3671											BUS	PRODUCER						BUS			1	111	111	11	3	-2.0	4	1	4	-1.74081237911025	0								1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20250514044500	https://www.cracked.com/article_46579_nathan-fielder-conspiracy-theorists-suspect-that-paramount-was-behind-recent-hit-piece.html
1243694234	20250514	202505	2025	2025.3671											CAN	CANADA	CAN								1	043	043	04	1	2.8	1	1	1	2.29445506692161	0								4	Oakville, Ontario, Canada	CA	CA08	12656	43.4333	-79.6667	-570498	4	Oakville, Ontario, Canada	CA	CA08	12656	43.4333	-79.6667	-570498	20250514044500	https://timesofindia.indiatimes.com/world/rest-of-world/what-is-canadian-foreign-minister-anita-anands-religion-is-she-hindu/articleshow/121151871.cms
1243694235	20250514	202505	2025	2025.3671											CAN	CANADA	CAN								1	043	043	04	1	2.8	6	1	6	3.77358490566038	0								4	Winnipeg, Manitoba, Canada	CA	CA03	12577	49.8833	-97.1667	-576096	4	Winnipeg, Manitoba, Canada	CA	CA03	12577	49.8833	-97.1667	-576096	20250514044500	https://www.winnipegfreepress.com/this-just-in/jets-in-danger-of-elimination
1243694236	20250514	202505	2025	2025.3671											CANGOVBUS	MARK CARNEY	CAN					GOV	BUS		1	030	030	03	1	4.0	10	2	10	2.28983891317743	0								4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20250514044500	https://www.hindustantimes.com/world-news/who-is-anita-anand-canadas-first-hindu-foreign-minister-named-by-mark-carney-101747195460406.html
1243694237	20250514	202505	2025	2025.3671											CANGOVBUS	MARK CARNEY	CAN					GOV	BUS		1	030	030	03	1	4.0	2	1	2	2.28426395939086	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20250514044500	https://www.hindustantimes.com/world-news/who-is-anita-anand-canadas-first-hindu-foreign-minister-named-by-mark-carney-101747195460406.html
1243694238	20250514	202505	2025	2025.3671											CHNGOV	CHINESE	CHN					GOV			0	042	042	04	1	1.9	6	1	6	4.29835651074589	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20250514044500	http://www.china.org.cn/2025-05/14/content_117873723.shtml
1243694239	20250514	202505	2025	2025.3671											COP	POLICE						COP			1	050	050	05	1	3.5	10	1	10	-5.04587155963303	0								0								0								20250514044500	https://www.miragenews.com/shooting-investigation-underway-at-silver-valley-1459849/
1243694240	20250514	202505	2025	2025.3671											CRM	CRIMINAL						CRM			1	036	036	03	1	4.0	10	1	10	-11.2633181126332	0								1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	20250514044500	https://www.standardmedia.co.ke/opinion/article/2001518924/seek-bbcs-help-to-launch-credible-investigations-into-killing-of-youths
1243694241	20250514	202505	2025	2025.3671											CRM	ROBBER						CRM			1	043	043	04	1	2.8	8	1	8	-3.86740331491713	0								4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20250514044500	https://www.hindustantimes.com/lifestyle/fashion/kim-kardashian-wears-a-massive-1-5-million-dollar-diamond-necklace-and-jewels-to-testify-against-diamond-robbery-101747193374020.html
1243694242	20250514	202505	2025	2025.3671											CRM	CRIMINAL						CRM			1	060	060	06	2	6.0	10	1	10	-11.2633181126332	0								1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	20250514044500	https://www.standardmedia.co.ke/opinion/article/2001518924/seek-bbcs-help-to-launch-credible-investigations-into-killing-of-youths
1243694243	20250514	202505	2025	2025.3671											CRM	CRIMINAL						CRM			1	090	090	09	2	-2.0	10	1	10	-11.2633181126332	0								1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	20250514044500	https://www.standardmedia.co.ke/opinion/article/2001518924/seek-bbcs-help-to-launch-credible-investigations-into-killing-of-youths
1243694244	20250514	202505	2025	2025.3671											CVL	COMMUNITY						CVL			0	036	036	03	1	4.0	60	1	10	2.36686390532544	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250514044500	https://www.wcexaminer.com/2025/05/14/registration-time-nears-for-summer-programs-at-tunkhannock-public-library/
1243694245	20250514	202505	2025	2025.3671											CVL	COMMUNITY						CVL			1	036	036	03	1	4.0	10	1	10	1.0840108401084	0								2	Wyoming, United States	US	USWY		42.7475	-107.209	WY	2	Wyoming, United States	US	USWY		42.7475	-107.209	WY	20250514044500	https://www.wcexaminer.com/2025/05/14/p/
1243694246	20250514	202505	2025	2025.3671											CVL	COMMUNITY						CVL			1	043	043	04	1	2.8	5	1	5	0.24691358024691	0								1	Jamaica	JM	JM		18.25	-77.5	JM	1	Jamaica	JM	JM		18.25	-77.5	JM	20250514044500	https://www.jamaicaobserver.com/2025/05/13/jamaicans-not-happy-says-paulwell/
1243694247	20250514	202505	2025	2025.3671											EDU	SCHOOL						EDU			1	042	042	04	1	1.9	6	1	6	-0.96711798839458	0								3	Carson City, Nevada, United States	US	USNV		39.1638	-119.767	863976	3	Carson City, Nevada, United States	US	USNV		39.1638	-119.767	863976	20250514044500	https://www.reviewjournal.com/opinion/opinion-columns/victor-joecks/victor-joecks-lombardo-must-learn-from-past-mistakes-3372096/
1243694248	20250514	202505	2025	2025.3671											EDU	SCHOOL						EDU			1	042	042	04	1	1.9	2	1	2	-0.96711798839458	0								2	Nevada, United States	US	USNV		38.4199	-117.122	NV	3	Carson City, Nevada, United States	US	USNV		39.1638	-119.767	863976	20250514044500	https://www.reviewjournal.com/opinion/opinion-columns/victor-joecks/victor-joecks-lombardo-must-learn-from-past-mistakes-3372096/
1243694249	20250514	202505	2025	2025.3671											EDU	SCHOOL						EDU			1	042	042	04	1	1.9	2	1	2	-0.96711798839458	0								2	Nevada, United States	US	USNV		38.4199	-117.122	NV	2	Nevada, United States	US	USNV		38.4199	-117.122	NV	20250514044500	https://www.reviewjournal.com/opinion/opinion-columns/victor-joecks/victor-joecks-lombardo-must-learn-from-past-mistakes-3372096/
1243694250	20250514	202505	2025	2025.3671											EDU	STUDENT						EDU			0	051	051	05	1	3.4	10	1	10	2.70935960591133	0								3	Lincoln High School, Arkansas, United States	US	USAR		33.5757	-92.8316	51165	3	Lincoln High School, Arkansas, United States	US	USAR		33.5757	-92.8316	51165	20250514044500	https://www.5newsonline.com/article/news/local/federal-grant-expands-free-lunch-lincoln-students/527-633233ec-e7a1-4d79-bb0d-b0c1280cee52
1243694251	20250514	202505	2025	2025.3671											EGYGOV	EGYPTIAN	EGY					GOV			0	040	040	04	1	1.0	6	1	6	-9.23482849604223	0								1	Egypt	EG	EG		27	30	EG	1	Egypt	EG	EG		27	30	EG	20250514044500	https://www.jurist.org/news/2025/05/un-presses-egypt-to-rethink-draft-criminal-code-over-rights-concerns/
1243694252	20250514	202505	2025	2025.3671											FRA	FRANCE	FRA								0	042	042	04	1	1.9	10	1	10	1.79738562091504	0								4	Normandy, France (general), France	FR	FR00	16249	49	0	-1455324	4	Normandy, France (general), France	FR	FR00	16249	49	0	-1455324	20250514044500	https://www.5newsonline.com/article/news/local/bella-vista-wwii-veteran-100th-birthday-france-d-day/527-757bcd93-2d92-4e4a-b025-4d2858247cc9
1243694253	20250514	202505	2025	2025.3671											FRAGOV	FRENCH	FRA					GOV			0	161	161	16	4	-4.0	3	1	3	1.79738562091504	0								4	Normandy, France (general), France	FR	FR00	16249	49	0	-1455324	4	Normandy, France (general), France	FR	FR00	16249	49	0	-1455324	20250514044500	https://www.5newsonline.com/article/news/local/bella-vista-wwii-veteran-100th-birthday-france-d-day/527-757bcd93-2d92-4e4a-b025-4d2858247cc9
1243694254	20250514	202505	2025	2025.3671											GBR	BRITON	GBR								0	046	046	04	1	7.0	2	1	2	1.63370593293207	0								1	Switzerland	SZ	SZ		47	8	SZ	1	Switzerland	SZ	SZ		47	8	SZ	20250514044500	https://www.sail-world.com/news/286047/Bolter-named-in-core-Emirates-Team-NZ-sailing-team
1243694255	20250514	202505	2025	2025.3671											GBRGOV	DOWNING STREET	GBR					GOV			0	120	120	12	3	-4.0	6	1	6	-3.57142857142857	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250514044500	https://www.amren.com/news/2025/05/sadiq-khan-leads-labour-backlash-over-starmers-enoch-powell-speech/
1243694256	20250514	202505	2025	2025.3671											GOV	GOVERNOR						GOV			0	020	020	02	1	3.0	2	1	2	-4.13885180240321	0								2	California, United States	US	USCA		36.17	-119.746	CA	3	Beverly Hills, California, United States	US	USCA		34.0736	-118.4	1652672	20250514044500	https://kesq.com/news/national-world/cnn-national/2025/05/13/erik-and-lyle-menendez-resentenced-to-50-years-to-life-opening-the-door-for-possible-parole-judge-rules/
